ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/3/1/0,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",0,,Estimated precipitation,,,kg m-2,Operational,Original
grib2/4/2/3/1/1,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",1,,Instantaneous rain rate,,,kg m-2 s-1,Operational,Original
grib2/4/2/3/1/2,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",2,,Cloud top height,,,m,Operational,Original
grib2/4/2/3/1/3,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",3,,Cloud top height quality indicator,,,(Code table 4.219),Operational,Original
grib2/4/2/3/1/4,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",4,,Estimated u-component of wind,,,m/s,Operational,Original
grib2/4/2/3/1/5,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",5,,Estimated v-component of wind,,,m/s,Operational,Original
grib2/4/2/3/1/6,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",6,,Number of pixel used,,,Numeric,Operational,Original
grib2/4/2/3/1/7,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",7,,Solar zenith angle,,,deg,Operational,Original
grib2/4/2/3/1/8,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",8,,Relative azimuth angle,,,deg,Operational,Original
grib2/4/2/3/1/9,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",9,,Reflectance in 0.6 micron channel,,,%,Operational,Original
grib2/4/2/3/1/10,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",10,,Reflectance in 0.8 micron channel,,,%,Operational,Original
grib2/4/2/3/1/11,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",11,,Reflectance in 1.6 micron channel,,,%,Operational,Original
grib2/4/2/3/1/12,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",12,,Reflectance in 3.9 micron channel,,,%,Operational,Original
grib2/4/2/3/1/13,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",13,,Atmospheric divergence,,,/s,Operational,Original
grib2/4/2/3/1/14,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",14,,Cloudy brightness temperature,,,K,Operational,Original
grib2/4/2/3/1/15,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",15,,Clear-sky brightness temperature,,,K,Operational,Original
grib2/4/2/3/1/16,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",16,,Cloudy radiance (with respect to wave number),,,W m-1 sr-1,Operational,Original
grib2/4/2/3/1/17,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",17,,Clear-sky radiance (with respect to wave number),,,W m-1 sr-1,Operational,Original
grib2/4/2/3/1/18,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",18,,Reserved,,,,Operational,Original
grib2/4/2/3/1/19,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",19,,Wind speed,,,m/s,Operational,Original
grib2/4/2/3/1/20,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",20,,Aerosol optical thickness at 0.635 μm,,,,Operational,Original
grib2/4/2/3/1/21,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",21,,Aerosol optical thickness at 0.810 μm,,,,Operational,Original
grib2/4/2/3/1/22,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",22,,Aerosol optical thickness at 1.640 μm,,,,Operational,Original
grib2/4/2/3/1/23,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",23,,Angstrom coefficient,,,,Operational,Original
grib2/4/2/3/1/24,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",24,,Cosine of the solar zenith angle,,,Numeric,Operational,Original
grib2/4/2/3/1/25-26,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",25-26,,Reserved,,,,Operational,Original
grib2/4/2/3/1/27,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",27,,Bidirectional reflectance factor,(see Note 1),98,Numeric,Operational,Original
