ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translated_by
grib2/4/2/3/2/0,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",0,,Clear sky probability,,,%,Operational,Original
grib2/4/2/3/2/1,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",1,,Cloud top temperature,,,K,Operational,Original
grib2/4/2/3/2/2,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",2,,Cloud top pressure,,,Pa,Operational,Original
grib2/4/2/3/2/3,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",3,,Cloud type,,,(Code table 4.218),Operational,Original
grib2/4/2/3/2/4,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",4,,Cloud phase,,,(Code table 4.218),Operational,Original
grib2/4/2/3/2/5,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",5,,Cloud optical depth,,,Numeric,Operational,Original
grib2/4/2/3/2/6,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",6,,Cloud particle effective radius,,,m,Operational,Original
grib2/4/2/3/2/7,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",7,,Cloud liquid water path,,,kg m-2,Operational,Original
grib2/4/2/3/2/8,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",8,,Cloud ice water path,,,kg m-2,Operational,Original
grib2/4/2/3/2/9,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",9,,Cloud albedo,,,Numeric,Operational,Original
grib2/4/2/3/2/10,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",10,,Cloud emissivity,,,Numeric,Operational,Original
grib2/4/2/3/2/11,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",11,,Effective absorption optical depth ratio,,,Numeric,Operational,Original
grib2/4/2/3/2/30,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",30,,Measurement cost,,,Numeric,Operational,Original
grib2/4/2/3/2/31,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",31,,Upper layer cloud optical depth,(see Note),70,Numeric,Deprecated,Original
grib2/4/2/3/2/32,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",32,,Upper layer cloud top pressure,(see Note),70,Pa,Deprecated,Original
grib2/4/2/3/2/33,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",33,,Upper layer cloud effective radius,(see Note),70,m,Deprecated,Original
grib2/4/2/3/2/34,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",34,,Error in upper layer cloud optical depth,(see Note),70,Numeric,Deprecated,Original
grib2/4/2/3/2/35,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",35,,Error in upper layer cloud top pressure,(see Note),70,Pa,Deprecated,Original
grib2/4/2/3/2/36,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",36,,Error in upper layer cloud effective radius,(see Note),70,m,Deprecated,Original
grib2/4/2/3/2/37,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",37,,Lower layer cloud optical depth,(see Note),70,Numeric,Deprecated,Original
grib2/4/2/3/2/38,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",38,,Lower layer cloud top pressure,(see Note),70,Pa,Deprecated,Original
grib2/4/2/3/2/39,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",39,,Error in lower layer cloud optical depth,(see Note),70,Numeric,Deprecated,Original
grib2/4/2/3/2/40,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",40,,Error in lower layer cloud top pressure,(see Note),70,Pa,Deprecated,Original
grib2/4/2/3/2/41-191,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",41-191,,Reserved,,,,Operational,Original
grib2/4/2/3/2/192-254,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",192-254,,Reserved for local use,,,,Operational,Original
grib2/4/2/3/2/255,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",255,,Missing,,,,Operational,Original
