ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/63/15,spectral Lambert conformal with modelling subdomains definition,15,1,Spectral representation type,(see Code table 3.6),,3.6,,Operational,PDF
grib2/3/63/16-19,spectral Lambert conformal with modelling subdomains definition,16-19,4,N - bi-Fourier resolution parameter,,,,,Operational,PDF
grib2/3/63/20-23,spectral Lambert conformal with modelling subdomains definition,20-23,4,M - bi-Fourier resolution parameter,,,,,Operational,PDF
grib2/3/63/24,spectral Lambert conformal with modelling subdomains definition,24,1,Bi-Fourier truncation type,(see Code table 3.25),,3.25,,Operational,PDF
grib2/3/63/25-32,spectral Lambert conformal with modelling subdomains definition,25-32,8,Lx - size in metres of the domain along x-axis,,,,,Operational,PDF
grib2/3/63/33-40,spectral Lambert conformal with modelling subdomains definition,33-40,8,Lux - size in metres of model forecast subdomain along x-axis,,,,,Operational,PDF
grib2/3/63/41-48,spectral Lambert conformal with modelling subdomains definition,41-48,8,Lcx - width in metres of coupling area within forecast domain along x-axis,,,,,Operational,PDF
grib2/3/63/49-56,spectral Lambert conformal with modelling subdomains definition,49-56,8,Ly - size in metres of the domain along y-axis,,,,,Operational,PDF
grib2/3/63/57-64,spectral Lambert conformal with modelling subdomains definition,57-64,8,Luy - size in metres of model forecast subdomain along y-axis,,,,,Operational,PDF
grib2/3/63/65-72,spectral Lambert conformal with modelling subdomains definition,65-72,8,Lcy - width in metres of coupling area within forecast domain along y-axis,,,,,Operational,PDF
grib2/3/63/73,spectral Lambert conformal with modelling subdomains definition,73,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational,PDF
grib2/3/63/74,spectral Lambert conformal with modelling subdomains definition,74,1,Scale factor of radius of spherical Earth,,,,,Operational,PDF
grib2/3/63/75-78,spectral Lambert conformal with modelling subdomains definition,75-78,4,Scaled value of radius of spherical Earth,,,,,Operational,PDF
grib2/3/63/79,spectral Lambert conformal with modelling subdomains definition,79,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/63/80-83,spectral Lambert conformal with modelling subdomains definition,80-83,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/63/84,spectral Lambert conformal with modelling subdomains definition,84,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/63/85-88,spectral Lambert conformal with modelling subdomains definition,85-88,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational,PDF
grib2/3/63/89-92,spectral Lambert conformal with modelling subdomains definition,89-92,4,La1 - latitude of first grid point,,,,,Operational,PDF
grib2/3/63/93-96,spectral Lambert conformal with modelling subdomains definition,93-96,4,Lo1 - longitude of first grid point,,,,,Operational,PDF
grib2/3/63/97-100,spectral Lambert conformal with modelling subdomains definition,97-100,4,LaD - latitude where Dx and Dy are specified,,,,,Operational,PDF
grib2/3/63/101-104,spectral Lambert conformal with modelling subdomains definition,101-104,4,LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases,,,,,Operational,PDF
grib2/3/63/105,spectral Lambert conformal with modelling subdomains definition,105,1,Projection centre flag,(see Flag table 3.5),,,3.5,Operational,PDF
grib2/3/63/106-109,spectral Lambert conformal with modelling subdomains definition,106-109,4,Latin 1 - first latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,PDF
grib2/3/63/110-113,spectral Lambert conformal with modelling subdomains definition,110-113,4,Latin 2 - second latitude from the pole at which the secant cone cuts the sphere,,,,,Operational,PDF
grib2/3/63/114-117,spectral Lambert conformal with modelling subdomains definition,114-117,4,Latitude of the southern pole of projection,,,,,Operational,PDF
grib2/3/63/118-121,spectral Lambert conformal with modelling subdomains definition,118-121,4,Longitude of the southern pole of projection,,,,,Operational,PDF
