ID,Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/79/10,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational,Original
grib2/4/79/11,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational,Original
grib2/4/79/12-13,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",12-13,2,Atmospheric chemical constituent type,(see Code table 4.230),,4.230,,Operational,Original
grib2/4/79/14,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",14,1,Source or sink,(see Code table 4.238),,4.238,,Operational,Original
grib2/4/79/15,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",15,1,Type of generating process,(see Code table 4.3),,4.3,,Operational,Original
grib2/4/79/16,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",16,1,Background generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/79/17,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",17,1,Forecast generating process identifier (defined by originating centre),,,,,Operational,Original
grib2/4/79/18-19,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",18-19,2,Hours after reference time of data cut-off,(see Note 1),33,,,Operational,Original
grib2/4/79/20,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",20,1,Minutes after reference time of data cut-off,,,,,Operational,Original
grib2/4/79/21,"individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents with source or sink",21,1,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational,Original
