ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/1/0/0,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,0,,Température,,,,Operational,Original
grib2/4/1/0/1,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,1,,Humidité,,,,Operational,Original
grib2/4/1/0/2,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,2,,Quantité de mouvement,,,,Operational,Original
grib2/4/1/0/3,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,3,,Masse,,,,Operational,Original
grib2/4/1/0/4,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,4,,Rayonnement de courte longueur d'onde,,,,Operational,Original
grib2/4/1/0/5,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,5,,Rayonnement de grande longueur d'onde,,,,Operational,Original
grib2/4/1/0/6,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,6,,Nébulosité,,,,Operational,Original
grib2/4/1/0/7,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,7,,Indices de stabilité thermodynamique,,,,Operational,Original
grib2/4/1/0/8,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,8,,Indices de stabilité cinématique,,,,Deprecated,Original
grib2/4/1/0/9,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,9,,Probabilités de température,,,,Deprecated,Original
grib2/4/1/0/10,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,10,,Probabilités d'humidité,,,,Deprecated,Original
grib2/4/1/0/11,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,11,,Probabilités de quantité de mouvement,,,,Deprecated,Original
grib2/4/1/0/12,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,12,,Probabilités de masse,,,,Deprecated,Original
grib2/4/1/0/13,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,13,,Aérosols,,,,Operational,Original
grib2/4/1/0/14,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,14,,"Gaz à l'état de trace (exemple: ozone, CO₂)",,,,Operational,Original
grib2/4/1/0/15,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,15,,Radar,,,,Operational,Original
grib2/4/1/0/16,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,16,,Images radar prévues,,,,Operational,Original
grib2/4/1/0/17,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,17,,Électrodynamique,,,,Operational,Original
grib2/4/1/0/18,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,18,,Radiations,,,,Operational,Original
grib2/4/1/0/19,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,19,,Propriétés physiques de l'atmosphère,,,,Operational,Original
grib2/4/1/0/20,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,20,,Constituants chimiques de l'atmosphère,,,,Operational,Original
grib2/4/1/0/21-189,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,21-189,,En réserve,,,,Operational,Original
grib2/4/1/0/190,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,190,,Chaîne CCITT IA5,,,,Operational,Original
grib2/4/1/0/191,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,191,,Divers,,,,Operational,Original
grib2/4/1/0/192-254,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/1/0/255,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 0 — Produits météorologiques,255,,Valeur manquante,,,,Operational,Original
grib2/4/1/1/0,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,0,,Hydrologie,,,,Operational,Original
grib2/4/1/1/1,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,1,,Probabilités en hydrologie,,,,Operational,Original
grib2/4/1/1/2,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,2,,Propriétés des eaux intérieures et des sédiments,,,,Operational,Original
grib2/4/1/1/3-191,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,3-191,,En réserve,,,,Operational,Original
grib2/4/1/1/192-254,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/1/1/255,Table de code 4.1 — Catégorie de paramètres par domaine de spécialisation des produits,Domaine de spécialisation 1 — Produits hydrologiques,255,,Valeur manquante,,,,Operational,Original
