ID,Title_fr,Subtitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/0/4/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",0,,Bilan du rayonnement de courte longueur d'onde (surface)*,,,W m-2,Operational,Original
grib2/4/2/0/4/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",1,,Bilan du rayonnement de courte longueur d'onde (sommet de l'atmosphère)*,,,W m-2,Operational,Original
grib2/4/2/0/4/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",2,,Rayonnement de courte longueur d'onde*,,,W m-2,Operational,Original
grib2/4/2/0/4/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",3,,Rayonnement global,,,W m-2,Operational,Original
grib2/4/2/0/4/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",4,,Température de luminance,,,K,Operational,Original
grib2/4/2/0/4/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",5,,Luminance énergétique (en fonction du nombre d'ondes),,,W m-1 sr-1,Operational,Original
grib2/4/2/0/4/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",6,,Luminance énergétique (en fonction de la longueur d'onde),,,W m-3 sr-1,Operational,Original
grib2/4/2/0/4/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",7,,Flux du rayonnement descendant de courte longueur d'onde,,,W m-2,Operational,Original
grib2/4/2/0/4/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",8,,Flux du rayonnement ascendant de courte longueur d'onde,,,W m-2,Operational,Original
grib2/4/2/0/4/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 4: rayonnement de courte longueur d'onde",9,,Bilan du rayonnement de courte longueur d'onde,,,W m-2,Operational,Original
