ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/0/7/0,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",0,,Indice de soulèvement d'une particule (à 500 hPa),,,K,Operational,Original
grib2/4/2/0/7/1,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",1,,Indice de soulèvement optimal (à 500 hPa),,,K,Operational,Original
grib2/4/2/0/7/2,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",2,,Indice K,,,K,Operational,Original
grib2/4/2/0/7/3,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",3,,Indice KO,,,K,Operational,Original
grib2/4/2/0/7/4,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",4,,Indice total-total,,,K,Operational,Original
grib2/4/2/0/7/5,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",5,,Indice SWEAT,,,Numérique,Operational,Original
grib2/4/2/0/7/6,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",6,,Énergie convective potentielle disponible,,,J kg-1,Operational,Original
grib2/4/2/0/7/7,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",7,,Inhibition convective,,,J kg-1,Operational,Original
grib2/4/2/0/7/8,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",8,,Hélicité relative des orages,,,J kg-1,Operational,Original
grib2/4/2/0/7/9,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",9,,Indice d'hélicité de l'énergie,,,Numérique,Operational,Original
grib2/4/2/0/7/10,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",10,,Indice de soulèvement en surface,,,K,Operational,Original
grib2/4/2/0/7/11,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",11,,Meilleur indice de soulèvement (4 couches),,,K,Operational,Original
grib2/4/2/0/7/12,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",12,,Nombre de Richardson,,,Numérique,Operational,Original
grib2/4/2/0/7/13,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",13,,Indice de Showalter,,,K,Operational,Original
grib2/4/2/0/7/14,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",14,,En réserve,,,,Operational,Original
grib2/4/2/0/7/15,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",15,,Hélicité du courant ascendant,,,m² s-2,Operational,Original
grib2/4/2/0/7/16,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",16,,Nombre global de Richardson,,,Numérique,Operational,Original
grib2/4/2/0/7/17,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",17,,Nombre de Richardson de gradient,,,Numérique,Operational,Original
grib2/4/2/0/7/18,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",18,,Nombre de Richardson de flux,,,Numérique,Operational,Original
grib2/4/2/0/7/19,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",19,,Énergie convective potentielle disponible – cisaillement,,,m² s-2,Operational,Original
grib2/4/2/0/7/20-191,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",20-191,,En réserve,,,,Operational,Original
grib2/4/2/0/7/192-254,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/2/0/7/255,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",255,,Valeur manquante,,,,Operational,Original
