ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/3/1/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",0,,Estimation des précipitations,,,kg m-2,Operational,Original
grib2/4/2/3/1/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",1,,Intensité instantanée des précipitations,,,kg m-2s-1,Operational,Original
grib2/4/2/3/1/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",2,,Altitude du sommet des nuages,,,m,Operational,Original
grib2/4/2/3/1/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",3,,Indicateur de qualité – Altitude du sommet des nuages,,,(Table de code 4.219),Operational,Original
grib2/4/2/3/1/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",4,,Composante u du vent – Estimation,,,m s-1,Operational,Original
grib2/4/2/3/1/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",5,,Composante v du vent – Estimation,,,m s-1,Operational,Original
grib2/4/2/3/1/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",6,,Nombre de pixels utilisés,,,Numérique,Operational,Original
grib2/4/2/3/1/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",7,,Distance zénithale du soleil,,,°,Operational,Original
grib2/4/2/3/1/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",8,,Azimut relatif,,,°,Operational,Original
grib2/4/2/3/1/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs",9,,"Réflectance dans le canal de 0,6 micron",,,%,Operational,Original
