ID,Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/106/10,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, de contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu.",10,1,Catégorie du paramètre,((voir la table de code 4.1)),,4.1,,Operational,AI
grib2/4/106/11,"Anomalies, significations et autres produits dérivés d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",11,1,Numéro du paramètre,((voir la table de code 4.2)),,4.2,,Operational,AI
grib2/4/106/12,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",12,1,Type du processus de production,((voir la table de code 4.3)),,4.3,,Operational,AI
grib2/4/106/13,"Anomalies, significations et autres produits dérivés d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu.",13,1,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational,AI
grib2/4/106/14,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, de contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",14,1,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational,AI
grib2/4/106/15-16,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",15-16,2,Limite (heures) de tombée des données d'observation après l'heure de référence,((voir la note 1)),33,,,Operational,AI
grib2/4/106/17,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",17,1,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational,AI
grib2/4/106/18,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",18,1,Indicateur d'unité de l'intervalle de temps,((voir la table de code 4.4)),,4.4,,Operational,AI
grib2/4/106/19-22,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",19-22,4,Heure de la prévision exprimée dans l'unité précisée par l'octet précédent,,,,,Operational,AI
grib2/4/106/23,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",23,1,Type de la première surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI
grib2/4/106/24,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",24,1,Facteur d'échelle - première surface spécifiée,,,,,Operational,AI
grib2/4/106/25-28,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",25-28,4,Valeur ajustée - première surface spécifiée,,,,,Operational,AI
grib2/4/106/29,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",29,1,Type de la deuxième surface spécifiée,((voir la table de code 4.5)),,4.5,,Operational,AI
grib2/4/106/30,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",30,1,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational,AI
grib2/4/106/31-34,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",31-34,4,Valeur ajustée - deuxième surface spécifiée,,,,,Operational,AI
grib2/4/106/35-36,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",35-36,2,Année de fin de l'intervalle de temps global,,,,,Operational,AI
grib2/4/106/37,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",37,1,Mois de fin de l'intervalle de temps global.,,,,,Operational,AI
grib2/4/106/38,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",38,1,Jour de fin de l'intervalle de temps global,,,,,Operational,AI
grib2/4/106/39,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",39,1,Heure de fin de l'intervalle de temps global.,,,,,Operational,AI
grib2/4/106/40,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",40,1,Minute de la fin de l'intervalle de temps global.,,,,,Operational,AI
grib2/4/106/41,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",41,1,Seconde de la fin de l'intervalle de temps global.,,,,,Operational,AI
grib2/4/106/42,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",42,1,Nombre de plage de temps (NT),,,,,Operational,AI
grib2/4/106/43-46,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",43-46,4,Nombre de données manquantes dans le processus statistique,,,,,Operational,AI
grib2/4/106//1,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",,,Les six prochaines entrées sont répétées NT fois nt=1:NT,,,,,Operational,AI
grib2/4/106/47+(nt-1)*12,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",47+(nt-1)*12,,Type de calcul statistique,,,,,Operational,AI
grib2/4/106/48+(nt-1)*12,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",48+(nt-1)*12,,Type d'incrément de temps,,,,,Operational,AI
grib2/4/106/49+(nt-1)*12,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",49+(nt-1)*12,,Indicateur d'unité pour plage de temps,,,,,Operational,AI
grib2/4/106/(50+(nt-1)*12)-(53+(nt-1)*12),"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",(50+(nt-1)*12)-(53+(nt-1)*12),,Longueur de la plage de temps,,,,,Operational,AI
grib2/4/106/54+(nt-1)*12,"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",54+(nt-1)*12,,Indicateur d'unité pour l'incrément temporel,((voir la table de code 4.4)),,4.4,,Operational,AI
grib2/4/106/(55+(nt-1)*12)-(58+(nt-1)*12),"Anomalies, significations et autres produits dérivés provenant d'une prévision d'ensemble individuelle, contrôle et perturbée en relation avec une période de référence à un niveau horizontal ou dans une couche horizontale sur un intervalle de temps continu ou non continu",(55+(nt-1)*12)-(58+(nt-1)*12),,incrément temporel,,,,,Operational,AI
