Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",12-13,,Type d'aérosol,(voir la table de code commune C-14),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",14,,Type d'intervalle pour la première et la deuxième taille indiquée,(voir la table de code 4.91),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",15,,Facteur d'échelle de la première taille,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",16-19,,Valeur ajustée de la première taille en mètres,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",20,,Facteur d'échelle de la deuxième taille,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",21-24,,Valeur ajustée de la deuxième taille en mètres,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",25,,Type d'intervalle pour la première et la deuxième longueur d'onde indiquée,(voir la table de code 4.91),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",26,,Facteur d'échelle de la première longueur d'onde,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",27-30,,Valeur ajustée de la première longueur d'onde en mètres,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",31,,Facteur d'échelle de la deuxième longueur d'onde,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",32-35,,Valeur ajustée de la deuxième longueur d'onde en mètres,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",36,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",37,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",38,,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",39-40,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",41,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",42,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",43-46,,Heure de la prévision exprimée dans l'unité précisée par l'octet 42,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",47,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",48,,Facteur d'échelle - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",49-52,,Valeur ajustée - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",53,,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",54,,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.48 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné, relative aux propriétés optiques des aérosols",55-58,,Valeur ajustée - deuxième surface spécifiée,,,,,Operational
