ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/2/12-21,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,12–21,,То же, что и в образце представления данных 5.0,,,,,PDF
grib2/5/2/22,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,22,,Используемый метод разбивки на группы,см. кодовую таблицу 5.4,,5.4,,operational,PDF
grib2/5/2/23,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,23,,Используемый метод обращения с отсутствующими значениями,см. кодовую таблицу 5.5,,5.5,,operational,PDF
grib2/5/2/24-27,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,24–27,,Замена первичных отсутствующих значений,,,,,operational,PDF
grib2/5/2/28-31,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,28–31,,Замена вторичных отсутствующих значений,,,,,operational,PDF
grib2/5/2/32-35,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,32–35,,NG — количество групп значений данных, на которые разбито поле,,,,,PDF
grib2/5/2/36,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,36,,Величина начала отсчета для ширины группы,см. примечание 12,,12,,operational,PDF
grib2/5/2/37,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,37,,Количество битов, используемых в ширине группы (после вычитания величины начала отсчета, указанной в октете 36),,,,PDF
grib2/5/2/38-41,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,38–41,,Величина начала отсчета для длины групп,см. примечание 13,,13,,operational,PDF
grib2/5/2/42,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,42,,Инкремент длины для длины групп,см. примечание 14,,14,,operational,PDF
grib2/5/2/43-46,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,43–46,,Истинная длина последней группы,,,,,operational,PDF
grib2/5/2/47,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,47,,Количество битов, используемых для масштабированных длин групп (после вычитания величины начала отсчета, данной в октетах 38–41, и деления на инкремент длины, данный в октете 42),,PDF
