ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/0/19/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",0,,Видимость,,,м,Operational,Original
grib2/4/2/0/19/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",1,,Альбедо,,,%,Operational,Original
grib2/4/2/0/19/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",2,,Вероятность грозы,,,%,Operational,Original
grib2/4/2/0/19/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",3,,Глубина слоя перемешивания,,,м,Operational,Original
grib2/4/2/0/19/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",4,,Вулканический пепел,,,(Кодовая таблица 4.206),Operational,Original
grib2/4/2/0/19/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",5,,Верхняя граница зоны обледенения,,,м,Operational,Original
grib2/4/2/0/19/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",6,,Нижняя граница зоны обледенения,,,м,Operational,Original
grib2/4/2/0/19/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",7,,Обледенение,,,(Кодовая таблица 4.207),Operational,Original
grib2/4/2/0/19/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",8,,Верхняя граница зоны турбулентности,,,м,Operational,Original
grib2/4/2/0/19/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",9,,Нижняя граница зоны турбулентности,,,м,Operational,Original
grib2/4/2/0/19/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",10,,Турбулентность,,,(Кодовая таблица 4.208),Operational,Original
grib2/4/2/0/19/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",11,,Турбулентная кинетическая энергия,,,Дж ⋅ кг -1,Operational,Original
grib2/4/2/0/19/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",12,,Режим планетарного пограничного слоя,,,(Кодовая таблица 4.209),Operational,Original
grib2/4/2/0/19/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",13,,Интенсивность конденсационного следа,,,(Кодовая таблица 4.210),Operational,Original
grib2/4/2/0/19/14,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",14,,"Тип двигателя, дающего конденсационный след",,,(Кодовая таблица 4.211),Operational,Original
grib2/4/2/0/19/15,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",15,,Верхняя граница конденсационного следа,,,м,Operational,Original
grib2/4/2/0/19/16,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",16,,Нижняя граница конденсационного следа,,,м,Operational,Original
grib2/4/2/0/19/17,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",17,,Максимальное альбедо снега (примечание 1),,1,%,Deprecated,Original
grib2/4/2/0/19/18,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",18,,Альбедо бесснежной территории,,,%,Operational,Original
grib2/4/2/0/19/19,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",19,,Альбедо снега,,,%,Operational,Original
grib2/4/2/0/19/20,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",20,,Обледенение,,,%,Operational,Original
grib2/4/2/0/19/21,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",21,,Внутриоблачная турбулентность,,,%,Operational,Original
grib2/4/2/0/19/22,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",22,,Турбулентность в ясном небе (CAT),,,%,Operational,Original
grib2/4/2/0/19/23,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",23,,Вероятность переохлажденных крупных капель (примечание 2),,78,%,Operational,Original
grib2/4/2/0/19/24,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",24,,Конвективная турбулентная кинетическая энергия,,,Дж ⋅ кг –1,Operational,Original
grib2/4/2/0/19/25,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",25,,Погода,,,(Кодовая таблица 4.225),Operational,Original
grib2/4/2/0/19/26,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",26,,Ориентировочный прогноз конвективных процессов,,,Кодовая таблица 4.224,Operational,Original
grib2/4/2/0/19/27,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",27,,Сценарий обледенения,,,(Кодовая таблица 4.227),Operational,Original
grib2/4/2/0/19/28,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",28,,"Турбулентность, связанная с горными волнами (скорость вихревой диссипации)",,,м 2/3 ⋅ с –1,Operational,Original
grib2/4/2/0/19/29,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",29,,Турбулентность при ясном небе (ТЯН),,,м 2/3 ⋅ с –1,Operational,Original
grib2/4/2/0/19/30,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",30,,Параметр вихревой диссипации (см. примечание 3),,45,м 2/3 ⋅ с –1,Operational,Original
grib2/4/2/0/19/31,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",31,,Максимум параметра вихревой диссипации в слое,,,м 2/3 ⋅ с –1,Operational,Original
grib2/4/2/0/19/32,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",32,,Наивысший уровень замерзания,,,м,Operational,Original
grib2/4/2/0/19/33,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 0 — Метеорологическая продукция, категория параметра 19: физические свойства атмосферы",33,,"Видимость сквозь туман, образованный водяными каплями",,,м,Operational,Original
