ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/5/0/0,Номер образца представления данных,,0,,Данные в узлах сетки — простая упаковка,,,,Operational,PDF
grib2/5/0/1,Номер образца представления данных,,1,,Матричные значения в узлах сетки — простая упаковка,,,,Experimental,PDF
grib2/5/0/2,Номер образца представления данных,,2,,Данные в узлах сетки — сложная упаковка,,,,Operational,PDF
grib2/5/0/3,Номер образца представления данных,,3,,Данные в узлах сетки — сложная упаковка и пространственная разбивка,,,,Operational,PDF
grib2/5/0/4,Номер образца представления данных,,4,,Данные в узлах сетки — данные в стандарте IEEE с плавающей запятой,,,,Operational,PDF
grib2/5/0/5-39,Номер образца представления данных,,5-39,,Зарезервированы,,,,Operational,PDF
grib2/5/0/40,Номер образца представления данных,,40,,Данные в узлах сетки — формат кодового потока JPEG 2000,,,,Operational,PDF
grib2/5/0/41,Номер образца представления данных,,41,,Данные в узлах сетки — переносимая сетевая графика (PNG),,,,Operational,PDF
grib2/5/0/42,Номер образца представления данных,,42,,Данные в узлах сетки и спектральные данные — рекомендованное CCSDS сжатие данных без потерь,,,,Operational,PDF
grib2/5/0/43-49,Номер образца представления данных,,43-49,,Зарезервированы,,,,Operational,PDF
grib2/5/0/50,Номер образца представления данных,,50,,Спектральные данные — простая упаковка,,,,Operational,PDF
grib2/5/0/51,Номер образца представления данных,,51,,Данные сферических гармонических функций — сложная упаковка,,,,Operational,PDF
grib2/5/0/52,Номер образца представления данных,,52,,Зарезервированы,,,,Operational,PDF
grib2/5/0/53,Номер образца представления данных,,53,,Спектральные данные для моделей ограниченной территории — сложное пакетирование,,,,Operational,PDF
grib2/5/0/54-60,Номер образца представления данных,,54-60,,Зарезервированы,,,,Operational,PDF
grib2/5/0/61,Номер образца представления данных,,61,,Данные в узлах сетки — простая упаковка с предварительной логарифмической обработкой,,,,Experimental,PDF
grib2/5/0/62-199,Номер образца представления данных,,62-199,,Зарезервированы,,,,Operational,PDF
grib2/5/0/200,Номер образца представления данных,,200,,Последовательная упаковка значений по уровням наблюдений,,,,Operational,PDF
grib2/5/0/201-49151,Номер образца представления данных,,201-49151,,Зарезервированы,,,,Operational,PDF
grib2/5/0/49152-65534,Номер образца представления данных,,49152-65534,,Зарезервированы для местного использования,,,,Operational,PDF
grib2/5/0/65535,Номер образца представления данных,,65535,,Отсутствующее,,,,Operational,PDF
