ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/0/15,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational,Original
grib2/3/0/16,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational,Original
grib2/3/0/17-20,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,17–20,,Масштабированная величина радиуса сферической Земли,,,,,operational,Original
grib2/3/0/21,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/0/22-25,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,22–25,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/0/26,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,26,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/0/27-30,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,27–30,,Масштабированная величина малой оси сплюснутого у полюсов сфероида Земли,,,,,operational,Original
grib2/3/0/31-34,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,31–34,,Ni — количество узлов вдоль параллели,,,,,operational,Original
grib2/3/0/35-38,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,35–38,,Nj — количество узлов вдоль меридиана,,,,,operational,Original
grib2/3/0/39-42,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,39–42,,Основной угол начальной продукционной области,см. примечание 1,,1,,operational,Original
grib2/3/0/43-46,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,43–46,,Подразделения основного угла используются для определения экстремальных долгот и широт и приращений по направлениям (см. примечание 1),,,,,operational,Original
grib2/3/0/47-50,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,47–50,,La1 — широта первого узла сетки,см. примечание 1,,1,,operational,Original
grib2/3/0/51-54,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,51–54,,Lo1 — долгота первого узла сетки,см. примечание 1,,1,,operational,Original
grib2/3/0/55,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,55,,Флаги разрешения и компонентов,см. таблицу флагов 3.3,,3.3,,operational,Original
grib2/3/0/56-59,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,56–59,,La2 — широта последнего узла сетки,см. примечание 1,,1,,operational,Original
grib2/3/0/60-63,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,60–63,,Lo2 — долгота последнего узла сетки,см. примечание 1,,1,,operational,Original
grib2/3/0/64-67,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,64–67,,Di — приращение в направлении i (см. примечания 1 и 5),,,,,operational,Original
grib2/3/0/68-71,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,68–71,,Dj — приращение в направлении j (см. примечания 1 и 5),,,,,operational,Original
grib2/3/0/72,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,72,,Режим сканирования (флаги — см. таблицу флагов 3.4),,,,,operational,Original
grib2/3/0/73-nn,Образец определения сетки 3.0 — ш иротно-долготная (или равноудаленная цилиндриче-,73–nn,,Перечень количества узлов вдоль каждой меридианы или параллели (эти октеты имеются только для квазирегулярных сеток, описанных в примечаниях 2 и 3).,,,,,Original
