ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/1100/15,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",15,1,Форма Земли,см. кодовую таблицу 3.2,,3.2,,Experimental,PDF
grib2/3/1100/16,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",16,1,Масштабный коэффициент радиуса сферической Земли,,,,,Experimental,PDF
grib2/3/1100/17-20,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",17-20,4,Масштабированная величина радиуса сферической Земли,,,,,Experimental,PDF
grib2/3/1100/21,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",21,1,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,Experimental,PDF
grib2/3/1100/22-25,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",22-25,4,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,Experimental,PDF
grib2/3/1100/26,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",26,1,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,Experimental,PDF
grib2/3/1100/27-30,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",27-30,4,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,Experimental,PDF
grib2/3/1100/31-34,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",31-34,4,Количество горизонтальных узлов,,,,,Experimental,PDF
grib2/3/1100/35-38,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",35-38,4,Основной угол начальной продукционной области,см. примечание 1,9,,,Experimental,PDF
grib2/3/1100/39-42,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",39-42,4,"Подразделения основного угла, используемые для определения экстремальных долгот и широт",(см. примечание 1),9,,,Experimental,PDF
grib2/3/1100/43-46,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",43-46,4,La1 — широта первого узла сетки,см. примечание 1,9,,,Experimental,PDF
grib2/3/1100/47-50,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",47-50,4,Lo1 — долгота первого узла сетки,см. примечание 1,9,,,Experimental,PDF
grib2/3/1100/51,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",51,1,Режим сканирования (флаги — см. таблицу флагов 3.4),,,,3.4,Experimental,PDF
grib2/3/1100/52-55,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",52-55,4,La2 — широта последнего узла сетки,см. примечание 1,9,,,Experimental,PDF
grib2/3/1100/56-59,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",56-59,4,Lo2 — долгота последнего узла сетки,см. примечание 1,9,,,Experimental,PDF
grib2/3/1100/60,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",60,1,Тип горизонтальной линии,см. кодовую таблицу 3.20,,3.20,,Experimental,PDF
grib2/3/1100/61-64,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",61-64,4,NT — количество временных шагов,,,,,Experimental,PDF
grib2/3/1100/65,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",65,1,Единица измерения для отклонения от времени начала отсчета,см. кодовую таблицу 4.4,,,,Experimental,PDF
grib2/3/1100/66-69,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",66-69,4,"Отклонение первого отсчета времени от начала отсчета (отрицательное значение, когда первый бит установлен на 1)",,,,,Experimental,PDF
grib2/3/1100/70,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",70,1,Тип инкремента времени,см. кодовую таблицу 4.11,,,,Experimental,PDF
grib2/3/1100/71,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",71,1,Единица измерения инкремента времени,см. кодовую таблицу 4.4,,,,Experimental,PDF
grib2/3/1100/72-75,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",72-75,4,"Инкремент времени (отрицательное значение, когда первый бит установлен на 1)",,,,,Experimental,PDF
grib2/3/1100//1,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",,,Последние дата/время,,,,,Experimental,PDF
grib2/3/1100/76-77,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",76-77,2,Год,,,,,Experimental,PDF
grib2/3/1100/78,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",78,1,Месяц,,,,,Experimental,PDF
grib2/3/1100/79,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",79,1,День,,,,,Experimental,PDF
grib2/3/1100/80,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",80,1,Час,,,,,Experimental,PDF
grib2/3/1100/81,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",81,1,Минута,,,,,Experimental,PDF
grib2/3/1100/82,"Образец определения сетки 3.1100 — сетка для представления разрезов с узлами, равно-",82,1,Секунда,,,,,Experimental,PDF
