ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/45/10,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/45/11,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/45/12-13,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,12-13,2,Тип аэрозоля,см. кодовую таблицу 4.233,,4.233,,Operational,PDF
grib2/4/45/14,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,14,1,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,Operational,PDF
grib2/4/45/15,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,15,1,Масштабный коэффициент первого размера,,,,,Operational,PDF
grib2/4/45/16-19,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,16-19,4,Масштабированная величина первого размера в метрах,,,,,Operational,PDF
grib2/4/45/20,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,20,1,Масштабный коэффициент второго размера,,,,,Operational,PDF
grib2/4/45/21-24,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,21-24,4,Масштабированная величина второго размера в метрах,,,,,Operational,PDF
grib2/4/45/25,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,25,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/45/26,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,26,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/45/27,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,27,1,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/45/28-29,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,28-29,2,Часы отсечения данных после времени начала отсчета (см. примечание),,33,,,Operational,PDF
grib2/4/45/30,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,30,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/45/31,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,31,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/45/32-35,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,32-35,4,Период действия прогноза в единицах,определенных в октете 31,,,,Operational,PDF
grib2/4/45/36,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,36,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/45/37,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,37,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/45/38-41,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,38-41,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/45/42,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,42,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/45/43,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,43,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/45/44-47,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,44-47,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/45/48,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,48,1,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,4.6,,Operational,PDF
grib2/4/45/49,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,49,1,Номер возмущения,,,,,Operational,PDF
grib2/4/45/50,Образец определения продукции 4.45 — индивидуальный ансамблевый прогноз,50,1,Количество прогнозов в ансамбле,превышающие 65534; Примечание. Часы,,,,Operational,PDF
