Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,12–13,,Тип аэрозоля (см. общую кодовую таблицу C-14),,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,14,,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,15,,Масштабный коэффициент первого размера,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,16–19,,Масштабированная величина первого размера в метрах,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,20,,Масштабный коэффициент второго размера,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,21–24,,Масштабированная величина второго размера в метрах,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,25,,Тип интервала для первой и второй длин волн,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,26,,Масштабный коэффициент первой длины волны,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,27–30,,Масштабированная величина первой длины волны в метрах,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,31,,Масштабный коэффициент второй длины волны,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,32–35,,Масштабированная величина второй длины волны в метрах,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,36,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,37,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,38,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,39–40,,Часы отсечения данных наблюдений после времени начала отсчета (см. примечание),,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,41,,Минуты отсечения данных наблюдений после времени начала отсчета (продолж.) (Образец определения продукции 4.49— продолж.),,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,42,,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,43–46,,Период действия прогноза в единицах, определенных в октете 42,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,47,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,48,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,49–52,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,53,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,54,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,55–58,,Масштабированная величина второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,59,,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,4.6,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,60,,Номер возмущения,,,,,operational
Образец определения продукции 4.49 — индивидуальный ансамблевый прогноз, проконтро-,61,,Количество прогнозов в ансамбле Примечание. Часы, превышающие 65534, будут кодироваться как 65534.,,,,,operational
