Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,14,,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,15-16,,Часы отсечения данных после времени начала отсчета (см. примечание),,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,17,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,19–22,,Период действия прогноза в единицах, определенных в октете 18,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,31–34,,Масштабированная величина второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,35,,Номер вероятностного прогноза,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,36,,Общее количество вероятностных прогнозов,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,37,,Тип вероятности,см. кодовую таблицу 4.9,,4.9,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,38,,Масштабный коэффициент нижнего предела,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,39–42,,Масштабированная величина нижнего предела,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,43,,Масштабный коэффициент верхнего предела,,,,,operational
Образец определения продукции 4.5 — вероятностные прогнозы по горизонтальному,44–47,,Масштабированная величина верхнего предела Примечание. Часы, превышающие 65534, будут кодироваться как 65534.,,,,,operational
