ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translation_source
grib2/4/10/0,Tipo de cálculo estadístico,,0,,Media,,,,Operational,PDF
grib2/4/10/1,Tipo de cálculo estadístico,,1,,Acumulación,(véase la nota 1),92,,Operational,PDF
grib2/4/10/2,Tipo de cálculo estadístico,,2,,Máxima,,,,Operational,PDF
grib2/4/10/3,Tipo de cálculo estadístico,,3,,Mínima,,,,Operational,PDF
grib2/4/10/4,Tipo de cálculo estadístico,,4,,Diferencia (el valor al final del intervalo de tiempo menos el valor al comienzo de ese intervalo),,,,Operational,PDF
grib2/4/10/5,Tipo de cálculo estadístico,,5,,Media cuadrática,,,,Operational,PDF
grib2/4/10/6,Tipo de cálculo estadístico,,6,,Desviación estándar,,,,Operational,PDF
grib2/4/10/7,Tipo de cálculo estadístico,,7,,Covarianza (varianza temporal),(véase la nota 2),93,,Operational,PDF
grib2/4/10/8,Tipo de cálculo estadístico,,8,,Diferencia (el valor al inicio del intervalo de tiempo menos el valor al término de ese intervalo),,,,Operational,PDF
grib2/4/10/9,Tipo de cálculo estadístico,,9,,Razón,(véase la nota 3),97,,Operational,PDF
grib2/4/10/10,Tipo de cálculo estadístico,,10,,Anomalía normalizada,,,,Operational,PDF
grib2/4/10/11,Tipo de cálculo estadístico,,11,,Adición,,,,Operational,PDF
grib2/4/10/12-191,Tipo de cálculo estadístico,,12-191,,Reservadas,,,,Operational,PDF
grib2/4/10/192-254,Tipo de cálculo estadístico,,192-254,,Reservadas para uso local,,,,Operational,PDF
grib2/4/10/255,Tipo de cálculo estadístico,,255,,Valor faltante,,,,Operational,PDF
