ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translation_source
grib2/4/2/0/18/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",0,,Concentración en el aire de cesio 137,,,Bq m-3,Operational,Original
grib2/4/2/0/18/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",1,,Concentración en el aire de yodo 131,,,Bq m-3,Operational,Original
grib2/4/2/0/18/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",2,,Concentración en el aire de contaminante radiactivo,,,Bq m-3,Operational,Original
grib2/4/2/0/18/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",3,,Deposición en el suelo de cesio 137,,,Bq m-2,Operational,Original
grib2/4/2/0/18/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",4,,Deposición en el suelo de yodo 131,,,Bq m-2,Operational,Original
grib2/4/2/0/18/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",5,,Deposición en el suelo de contaminante radiactivo,,,Bq m-2,Operational,Original
grib2/4/2/0/18/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",6,,Concentración en el aire integrada en el tiempo de contaminante de cesio,(véase la nota 1),,Bq s m-3,Operational,Original
grib2/4/2/0/18/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",7,,Concentración en el aire integrada en el tiempo de contaminante de yodo,(véase la nota 1),,Bq s m-3,Operational,Original
grib2/4/2/0/18/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",8,,Concentración en el aire integrada en el tiempo de contaminante radiactivo,(véase la nota 1),,Bq s m-3,Operational,Original
grib2/4/2/0/18/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",9,,Reservado,,,,Operational,Original
grib2/4/2/0/18/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",10,,Concentración en el aire,(véase la nota 2),,Bq s m-3,Operational,Original
grib2/4/2/0/18/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",11,,Deposición húmeda,,,Bq s m-2,Operational,Original
grib2/4/2/0/18/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",12,,Deposición seca,,,Bq s mv,Operational,Original
grib2/4/2/0/18/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",13,,Deposición total (húmeda y seca),,,Bq s m-2,Operational,Original
grib2/4/2/0/18/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",14,,Concentración de actividad específica,(véase la nota 2),,Bq kg-1,Operational,Original
grib2/4/2/0/18/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",15,,Máximo de concentración en el aire en la capa,,,Bq m-3,Operational,Original
grib2/4/2/0/18/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",16,,Altura de la concentración en el aire máxima,,,m,Operational,Original
grib2/4/2/0/18/17,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",17,,Concentración en el aire integrado en columna,,,Bq m-2,Operational,Original
grib2/4/2/0/18/18,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",18,,Concentración media en el aire en la columna de la capa,,,Bq m-3,Operational,Original
