ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/124/10,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,10,1,Categoría del parámetro,((véase la Tabla de cifrado 4.1)),,4.1,,Operational,AI
grib2/4/124/11,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,11,1,Número del parámetro,((véase la Tabla de cifrado 4.2)),,4.2,,Operational,AI
grib2/4/124/12-13,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento específico para radionúclidos,12-13,2,Tipo de componente químico atmosférico,((véase la Tabla de cifrado 4.230)),,4.230,,Operational,AI
grib2/4/124/14,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,14,1,Fuentes o sumideros,((véase la Tabla de cifrado 4.238)),,4.238,,Operational,AI
grib2/4/124/15-16,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento específico para radionúclidos,15-16,2,Modelo de transporte utilizado,(consulte la tabla de cifrado 4.333),,4.333,,Operational,AI
grib2/4/124/17-18,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,17-18,2,Solicitado por entidad,(consulte la tabla de códigos comunes C-11),,c-11,,Operational,AI
grib2/4/124/19-20,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,19-20,2,Origen del escenario,(ver tabla de cifrado 4.335),,4.335,,Operational,AI
grib2/4/124/21-22,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,21-22,2,NWP utilizado,(consulte la tabla de cifrado 4.336),,4.336,,Operational,AI
grib2/4/124/23-24,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,23-24,2,Año de inicio de lanzamiento,,,,,Operational,AI
grib2/4/124/25,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,25,1,Mes de inicio de lanzamiento,,,,,Operational,AI
grib2/4/124/26,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,26,1,Día de inicio de lanzamiento,,,,,Operational,AI
grib2/4/124/27,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,27,1,Hora de inicio de lanzamiento,,,,,Operational,AI
grib2/4/124/28,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,28,1,Minuto de inicio de liberación,,,,,Operational,AI
grib2/4/124/29,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,29,1,Inicio de liberación segundo,,,,,Operational,AI
grib2/4/124/30-31,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,30-31,2,Tiempo inicial de ejecución del reloj de pared (Año),,,,,Operational,AI
grib2/4/124/32,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,32,1,Tiempo inicial de ejecución del reloj de pared (mes),,,,,Operational,AI
grib2/4/124/33,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,33,1,Tiempo inicial de ejecución del reloj de pared (día),,,,,Operational,AI
grib2/4/124/34,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,34,1,Hora inicial de ejecución del reloj de pared (hora),,,,,Operational,AI
grib2/4/124/35,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,35,1,Tiempo inicial de ejecución del reloj de pared (minuto),,,,,Operational,AI
grib2/4/124/36,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,36,1,Tiempo inicial de ejecución del reloj de pared (segundo),,,,,Operational,AI
grib2/4/124/37,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,37,1,Tipo de proceso de producción,((véase la Tabla de cifrado 4.3)),,4.3,,Operational,AI
grib2/4/124/38,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,38,1,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational,AI
grib2/4/124/39,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,39,1,Identificador de proceso de producción de análisis o predicciones (definido por el centro de origen),,,,,Operational,AI
grib2/4/124/40-41,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,40-41,2,Límite (horas) de recogida de datos de observación después de la hora de referencia,((véase la nota)),33,,,Operational,AI
grib2/4/124/42,Análisis o pronóstico a un nivel horizontal o en una capa horizontal en un momento dado para radionúclidos,42,1,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational,AI
