"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","10",,"Categoría del parámetro","(véase la Tabla de cifrado 4.1)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","11",,"Número del parámetro","(véase la Tabla de cifrado 4.2)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","12-13",,"Tipo de aerosol","(véase la Tabla de cifrado 4.233)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","14",,"Tipo de intervalo para el primer y segundo tamaños","(véase la Tabla de cifrado 4.91)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","15",,"Factor de escala del primer tamaño",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","16-19",,"Valor a escala del primer tamaño en metros",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","20",,"Factor de escala del segundo tamaño",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","21-24",,"Valor a escala del segundo tamaño en metros",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","25",,"Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","26",,"Identificador del proceso de producción de base (definido por el centro de origen)",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","27",,"Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen)",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","28-29",,"Límite (horas) de recogida de datos después de la hora de referencia","(véase la nota 1)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","30",,"Límite (minutos) de recogida de datos después de la hora de referencia",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","31",,"Indicador de la unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","32-35",,"Hora de la predicción, en unidades definidas mediante el octeto 31","(véase la nota 2)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","36",,"Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","37",,"Factor de escala de la primera superficie especificada",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","38-41",,"Valor a escala de la primera superficie especificada",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","42",,"Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)",,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","43",,"Factor de escala de la segunda superficie especificada",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","44-47",,"Valor a escala de la segunda superficie especificada",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","48-49",,"Año",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","50",,"Mes",,,,,"Operational"
"Modelo de definición del producto 4.46 – Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles","51",,"Día",,,,,"Operational"
