ID,Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/88/10,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,10,1,Categoría de parámetro,(véase la Tabla de cifrado 4.1),,4.1,,Operational,Original
grib2/4/88/11,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,11,1,Número del parámetro,(véase la Tabla de cifrado 4.2),,4.2,,Operational,Original
grib2/4/88/12,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,12,1,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,4.3,,Operational,Original
grib2/4/88/13,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,13,1,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational,Original
grib2/4/88/14,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,14,1,Identificador del proceso de producción del análisis o la predicción (definido por el centro de origen),,,,,Operational,Original
grib2/4/88/15,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,15,1,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,4.5,,Operational,Original
grib2/4/88/16,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,16,1,Factor de escala de la primera superficie especificada,,,,,Operational,Original
grib2/4/88/17-20,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,17-20,4,Valor ajustado de la primera superficie especificada,,,,,Operational,Original
grib2/4/88/21,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,21,1,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,4.5,,Operational,Original
grib2/4/88/22,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,22,1,Factor de escala de la segunda superficie especificada,,,,,Operational,Original
grib2/4/88/23-26,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,23-26,4,Valor ajustado de la segunda superficie especificada,,,,,Operational,Original
grib2/4/88/27,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,27,1,Método utilizado para obtener los valores de los campos de datos a la hora local especificada en la sección 1,(véase la Tabla de cifrado 4.248),,4.248,,Operational,Original
grib2/4/88/28,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,28,1,n - Número de análisis o predicción utilizado para crear el campo de datos compuesto a la hora local especificada en la sección 1 (n>=1),,,,,Operational,Original
grib2/4/88//1,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,,,Octetos 29-46  Especificación del análisis o la predicción utilizados en el cálculo (n=1),,,,,Operational,Original
grib2/4/88/29-30,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,29-30,2,Año del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/31,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,31,1,Mes del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/32,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,32,1,Día del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/33,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,33,1,Hora del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/34,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,34,1,Minutos del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/35,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,35,1,Segundos del análisis o la predicción utilizados en el cálculo,,,,,Operational,Original
grib2/4/88/36,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,36,1,Indicador de las unidades de tiempo de la predicción,"(véase la Tabla de cifrado 4.4, indicar como faltante si se trata de un análisis)",,4.4,,Operational,Original
grib2/4/88/37-40,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,37-40,4,Hora de la predicción (indicar como faltante si se trata de un análisis),(véase la nota),,,,Operational,Original
grib2/4/88/41,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,41,1,Número de incrementos de tiempo de la predicción utilizada en el cálculo,,,,,Operational,Original
grib2/4/88/42,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,42,1,Indicador de las unidades de tiempo de los incrementos de tiempo,,,,,Operational,Original
grib2/4/88/43-46,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,43-46,4,Incrementos de tiempo entre horas de predicción sucesivas,,,,,Operational,Original
grib2/4/88//2,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,,,"47-nn Los octetos 47-nn se incluyen únicamente si n>1, donde nn=28+18*n",,,,,Operational,Original
grib2/4/88/47-nn,Modelo de definición del producto 4.88 – Análisis o predicción en una superficie o capa horizontal a una hora local,47-nn,,(n-1) repeticiones de secuencia del octeto 29-46 que describe el próximo análisis o predicción utilizados en el cálculo,,,,,Operational,Original
